Project,Date,User,Activity,Issue,Comment,Hours,Sequencing
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-26,Twilight Sparkle,Development,Task #284576: Meetings,Anwesenheit zu Jahresprojekt Mittwochstreffen im WiSe2013/14,32.50,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-26,Cheerilee,Development,Task #284576: Meetings,"Cheerilee, Anwesenheit im WiSe 13/14",25.17,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-26,Ditzy Doo,Development,Task #284576: Meetings,Anwesendheitstunden von Ditzy Doo,32.25,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-25,Ditzy Doo,Development,Task #285084: Merkzettel-Bearbeitung,"11-13 Uhr, 15-19 Uhr - Vorbereitung der Notice Klasse für Manager",6.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-25,Applejack,Development,Task #284576: Meetings,"14-15 Uhr, Bibliothekskommission",1.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-25,Twilight Sparkle,Development,Task #284576: Meetings,14:00 - 15:00 Bibliothels-Kommision,1.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-25,Ditzy Doo,Development,Task #284237: Analyse Zwischenstand und Anforderungsanalyse,15-19 Uhr mit Herrn Kusan,4.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-24,Rarity,Administrative,Task #283636: Einladung + Agenda,Einladung ist raus,1.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-23,Maud Pie,Development,Task #282210: Bluetooth,Bluetoothverbindung in das Projekt Integriert,4.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-19,Applejack,Development,Task #241578: LibovExport,"12-13 Uhr; Zwischenstands-Analyse (White-Box-Testing), Parsing mit PHP",1.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-19,Rainbow Dash,Administrative,Task #287559: Teammeetings,"",1.50,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-19,Fluttershy,Development,Task #282288: Datenbanken Anbindung IEEE,14:30 - 16:00; die richtige CSV Datei vom IEEE bekommen,1.50,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-19,Fluttershy,Development,Task #282288: Datenbanken Anbindung IEEE,12:00 - 14:00 Mit Herrn Johr versucht einen CSV vom IEEE zubekommen in der die richtigen Suchanfragen ,2.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-19,Applejack,Development,Task #284237: Analyse Zwischenstand und Anforderungsanalyse,"15-19 Uhr, Anforderungsanalyse",4.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-19,Twilight Sparkle,Development,Task #282209: Touch Points Scroll Resize,15:00 - 18:00 Projekte gesäubert und neu commited.,3.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-19,Twilight Sparkle,Development,Task #282288: Datenbanken Anbindung IEEE,"12:00 - 14:00 Mit Jerome zusammen die POST Header für IEEE Export Results analasiert; Noch kein Erfolg. Es werden immer alle 2000 Suchergebnisse geliefert, die nicht angefragt wurden.",2.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-16,Applejack,Development,Task #279154: Korrekturlesen und Strukturierung,"12:45-19:15 Uhr, letztes Korrekturlesen",6.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-15,Twilight Sparkle,Development,Task #257821: Abschlussbericht erstellen,13:00 - 0:30,11.50,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-14,Twilight Sparkle,Development,Task #257821: Abschlussbericht erstellen,12:00 - 13:00;  16:00 - 19:00; 21:00 -  1:00; Übertragen der Hälfte des Redmine-Wiki in ein Latex-Dokument,8.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-14,Rainbow Dash,Development,Task #257845: Corporate Design,Dokumentation erstellt,6.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-14,Applejack,Development,Task #279154: Korrekturlesen und Strukturierung,"3:15-6:30, Sichtung/Korrektur/Formatierung/Strukturierung - Dokumente von Alex L",3.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-14,Applejack,Development,Task #279154: Korrekturlesen und Strukturierung,"1:30-3:30 Uhr, Korrektur und Formatierung der Texte von A. Johr",2.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-13,Twilight Sparkle,Development,Task #257821: Abschlussbericht erstellen,"11:00 - 20:45 Korrekturlesen der Artikel Shibboleth, Datenbankanbindung und Anzeigen von Ebooks in WPF",20.75,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-12,Twilight Sparkle,Development,Task #257821: Abschlussbericht erstellen,11:00 - 17:00  Recherche Doku Shibboleth,5.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-11,Twilight Sparkle,Development,Task #257821: Abschlussbericht erstellen,12:00 - 21:30; Recherche Doku Shibboleth,9.50,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-11,Applejack,Development,Task #279154: Korrekturlesen und Strukturierung,20:18-22:38 Uhr,2.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-10,Twilight Sparkle,Development,Task #257821: Abschlussbericht erstellen,14:00 - 19:00; Recherche und Doku Shibboleth,5.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-09,Applejack,Development,Task #279156: Meilensteine & Ticketstrukturierung,"9.3.: 22:30-23 Uhr, 11.3.: 1:20- 1:50 Uhr",1.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-09,Twilight Sparkle,Development,Task #278039: Ersetzung von PdfBox durch Ghostscript.net,"11:30 - 20:30 Vollständige Ersetzung von PdfBox durch Ghostscript.Net, Kein JNI mehr nötig (Projekt wurde gelöscht), PdfBox entfernt, Wrapper Java Klasse entfernt. Generieren der Bilder läuft im eigenen Thread und stoppt die Hauptanwendung nicht",9.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-08,Twilight Sparkle,Development,Task #278039: Ersetzung von PdfBox durch Ghostscript.net,"15:00 - 18:00 Anf#ngliche Arbeiten zum ersetzen von PdfBox durch Ghostscript.Net. Tests, erstes Schreiben von Bildern auf die Festplatte",3.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-07,Twilight Sparkle,Development,Task #257821: Abschlussbericht erstellen,"19:00 - 24:00 Dokumentation der Anzeige der Pdf-Dateien innerhalb von WPF; Dokumentiert: MoonPdf, Windows Forms Host, XPS Writer, PdfBox, Ghostscript.Net",5.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-02-27,Applejack,Development,Task #238030: Wikibearbeitung,20-21:30 Uhr,1.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-02-27,Applejack,Development,Task #241578: LibovExport,"18-19 Uhr, Export mit JavaScript",1.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-02-23,Rarity,Development,Task #257836: Projektplan,PSP neu aufbereitet,5.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-02-22,Applejack,Development,Task #233102: Libov,"17-18 Uhr, bugfixes",1.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-02-22,Applejack,Development,Task #241578: LibovExport,"19-20 Uhr, HTMLParser mit Python zum Laufen gebracht",1.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-02-21,Rarity,Planning,Task #257836: Projektplan,Zusammenfassung als PDF,3.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-02-21,Maud Pie,Development,Task #257847: WPF Breeze Multitouch,Doku erstellt,2.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-02-21,Cheerilee,Development,Task #257832: WISO,Am 19.02.2014 - 22:00 Uhr bis 24:00 Uhr,2.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-02-20,Applejack,Development,Task #233102: Libov,"12-14, 16-18, 21-22 Uhr; Bug-Bekämpfung",5.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-02-20,Twilight Sparkle,Planning,Task #271806: Recherche Anzeige PDF in WPF (NuGet Packet Ghostscript.Net),22:00 - 02:00;,4.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-02-19,Applejack,Development,Task #257822: Libov,16-18 Uhr,2.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-02-19,Pinkie Pie,Development,Task #251786: Feature-Liste für Präsentation,"",2.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-01-06,Fluttershy,Development,Task #254828: Inhalt Präsentation zusammenfassen,"",1.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-01-06,Fluttershy,Development,Task #254825: Personas,"",5.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-01-06,Fluttershy,Development,Task #254827: Multifocustastatur,"",5.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-12-21,Pinkie Pie,Development,Task #251790: Jahrespräsentation vorbereiten,"",2.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-12-21,Pinkie Pie,Development,Task #251783: Juris-Anbindung,"",15.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-12-21,Pinkie Pie,Development,Task #251780: Entwicklung eines WLAN Direkt Prototypen,"",18.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-12-21,Pinkie Pie,Development,Task #251778: Recherche zu WLAN Direkt,"",9.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-12-21,Pinkie Pie,Development,Task #251777: NFC Pro­to­typ erstellen,"",21.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-12-21,Pinkie Pie,Development,Task #251772: Einarbeitung in NFC Programmieren,"",10.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-12-21,Twilight Sparkle,Development,Task #251673: eBook Vorschau,17:30 - 01:45,8.25,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-12-20,Twilight Sparkle,Development,Task #251337: Recherche / Anbindung Datenbanken,"0:00 - 4:00 Recherche für IEEE, Benoetigt Cookies, benoetigt User-Agent Angabe",4.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-12-18,Twilight Sparkle,Development,Task #250450: Bibliothekskommission - Vorstellung,13:30 - 15:30,2.00,""
